U,B,G,R,I,Z,Cyan,Orange,W,V,Other
U-Johnson,B-Johnson,G-Gaia,R-Cousins,I-PTF,z-Sloan,cyan-ATLAS,orange-ATLAS,w-PS1,V-crts-CRTS,Clear-
,,g-HSC,R-PTF,i-Sloan,,,,,V-Johnson,
,,g-PTF,r-Sloan,,,,,,,
,,gr-LSQ,r-SM-SkyMapper,,,,,,,
,,g-Sloan,r-ZTF,,,,,,,
,,g-ZTF,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Johnson,Sloan,Atlas,PTF,ZTF,Other,,,,,
U-Johnson,r-Sloan,cyan-ATLAS,g-PTF,g-ZTF,G-Gaia,,,,,
B-Johnson,i-Sloan,orange-ATLAS,R-PTF,r-ZTF,g-HSC,,,,,
V-Johnson,z-Sloan,,,,gr-LSQ,,,,,
,,,,,r-SM-SkyMapper,,,,,
,,,,,w-PS1,,,,,
,,,,,V-crts-CRTS,,,,,
,,,,,Clear-,,,,,
